country,country_code,col_belgium,col_britain,col_france,col_germany,col_italy,col_netherlands,col_portugal,col_spain,colstart_belgium,colstart_britain,colstart_france,colstart_germany,colstart_italy,colstart_netherlands,colstart_portugal,colstart_spain,colend_belgium,colend_britain,colend_france,colend_germany,colend_italy,colend_netherlands,colend_portugal,colend_spain,time_belgian,time_britain,time_france,time_germany,time_italy,time_netherlands,time_portugal,time_spain,time_total,independence,ncolonizers
Afghanistan,AFG,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,0,0,1,0,0,0,0,0,,,1836,,,,,,,,1962,,,,,,0,0,126,0,0,0,0,0,126,1962,1
Andorra,AND,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Angola,AGO,0,0,0,0,0,0,1,0,,,,,,,1576,,,,,,,,1974,,0,0,0,0,0,0,398,0,398,1974,1
Antigua and Barbuda,ATG,0,1,0,0,0,0,0,0,,1632,,,,,,,,1974,,,,,,,0,342,0,0,0,0,0,0,342,1974,1
Argentina,ARG,0,0,0,0,0,0,0,1,,,,,,,,1565,,,,,,,,1818,0,0,0,0,0,0,0,253,253,1818,1
Armenia,ARM,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,0,1,0,0,0,0,0,0,,1798,,,,,,,,1904,,,,,,,0,106,0,0,0,0,0,0,106,1904,1
Austria,AUT,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,AZE,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Bahamas,BHS,0,1,0,0,0,0,0,0,,1738,,,,,,,,1973,,,,,,,0,235,0,0,0,0,0,0,235,1973,1
Bahrain,BHR,0,1,0,0,0,0,0,0,,1861,,,,,,,,1971,,,,,,,0,110,0,0,0,0,0,0,110,1971,1
Bangladesh,BGD,0,1,0,0,0,0,0,0,,1796,,,,,,,,1947,,,,,,,0,151,0,0,0,0,0,0,151,1947,1
Barbados,BRB,0,1,0,0,0,0,0,0,,1627,,,,,,,,1966,,,,,,,0,339,0,0,0,0,0,0,339,1966,1
Belarus,BLR,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Belize,BLZ,0,1,0,0,0,0,0,1,,1798,,,,,,1524,,1980,,,,,,1862,0,182,0,0,0,0,0,338,520,1980,2
Benin,BEN,0,0,1,0,0,0,0,0,,,1873,,,,,,,,1960,,,,,,0,0,87,0,0,0,0,0,87,1960,1
Bhutan,BTN,0,1,0,0,0,0,0,0,,1888,,,,,,,,1949,,,,,,,0,61,0,0,0,0,0,0,61,1949,1
Bolivia,BOL,0,0,0,0,0,0,0,1,,,,,,,,1545,,,,,,,,1825,0,0,0,0,0,0,0,280,280,1825,1
Bosnia and Herzegovina,BIH,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Botswana,BWA,0,1,0,0,0,0,0,0,,1887,,,,,,,,1966,,,,,,,0,79,0,0,0,0,0,0,79,1966,1
Brazil,BRA,0,0,0,0,0,0,1,0,,,,,,,1533,,,,,,,,1822,,0,0,0,0,0,0,289,0,289,1822,1
Brunei Darussalam,BRN,0,1,0,0,0,0,0,0,,1888,,,,,,,,1984,,,,,,,0,96,0,0,0,0,0,0,96,1984,1
Bulgaria,BGR,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,BFA,0,0,1,0,0,0,0,0,,,1895,,,,,,,,1960,,,,,,0,0,65,0,0,0,0,0,65,1960,1
Burundi,BDI,1,0,0,1,0,0,0,0,1922,,,1894,,,,,1962,,,1922,,,,,40,0,0,28,0,0,0,0,68,1962,2
Cambodia,KHM,0,0,1,0,0,0,0,0,,,1868,,,,,,,,1952,,,,,,0,0,84,0,0,0,0,0,84,1952,1
Cameroon,CMR,0,1,1,1,0,0,0,0,,1922,1922,1884,,,,,,1961,1960,1915,,,,,0,39,38,31,0,0,0,0,108,1961,3
Canada,CAN,0,1,1,0,0,0,0,0,,1737,1608,,,,,,,1877,1763,,,,,,0,140,155,0,0,0,0,0,295,1877,2
Cabo Verde,CPV,0,0,0,0,0,0,1,0,,,,,,,1462,,,,,,,,1975,,0,0,0,0,0,0,513,0,513,1975,1
Central African Republic,CAF,0,0,1,0,0,0,0,0,,,1898,,,,,,,,1960,,,,,,0,0,62,0,0,0,0,0,62,1960,1
Chad,TCD,0,0,1,0,0,0,0,0,,,1899,,,,,,,,1960,,,,,,0,0,61,0,0,0,0,0,61,1960,1
Chile,CHL,0,0,0,0,0,0,0,1,,,,,,,,1541,,,,,,,,1817,0,0,0,0,0,0,0,276,276,1817,1
China,CHN,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Colombia,COL,0,0,0,0,0,0,0,1,,,,,,,,1518,,,,,,,,1819,0,0,0,0,0,0,0,301,301,1819,1
Comoros,COM,0,0,1,0,0,0,0,0,,,1878,,,,,,,,1975,,,,,,0,0,97,0,0,0,0,0,97,1975,1
Congo,COG,0,0,1,0,0,0,0,0,,,1881,,,,,,,,1960,,,,,,0,0,79,0,0,0,0,0,79,1960,1
Democratic Republic of the Congo,COD,1,0,0,0,0,0,0,0,1885,,,,,,,,1960,,,,,,,,75,0,0,0,0,0,0,0,75,1960,1
Costa Rica,CRI,0,0,0,0,0,0,0,1,,,,,,,,1516,,,,,,,,1821,0,0,0,0,0,0,0,305,305,1821,1
Côte d’Ivoire,CIV,0,0,1,0,0,0,0,0,,,1869,,,,,,,,1960,,,,,,0,0,91,0,0,0,0,0,91,1960,1
Croatia,HRV,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Cuba,CUB,0,0,0,0,0,0,0,1,,,,,,,,1511,,,,,,,,1898,0,0,0,0,0,0,0,387,387,1898,1
Cyprus,CYP,0,1,0,0,0,0,0,0,,1887,,,,,,,,1960,,,,,,,0,73,0,0,0,0,0,0,73,1960,1
Czechia,CZE,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Denmark,DNK,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Djibouti,DJI,0,0,1,0,0,0,0,0,,,1869,,,,,,,,1977,,,,,,0,0,108,0,0,0,0,0,108,1977,1
Dominica,DMA,0,1,1,0,0,0,0,0,,1805,1632,,,,,,,1972,1763,,,,,,0,167,131,0,0,0,0,0,298,1972,2
Dominican Republic,DOM,0,0,0,0,0,0,0,1,,,,,,,,1493,,,,,,,,1839,0,0,0,0,0,0,0,346,346,1839,1
Ecuador,ECU,0,0,0,0,0,0,0,1,,,,,,,,1534,,,,,,,,1823,0,0,0,0,0,0,0,289,289,1823,1
Egypt,EGY,0,1,0,0,0,0,0,0,,1882,,,,,,,,1926,,,,,,,0,44,0,0,0,0,0,0,44,1926,1
El Salvador,SLV,0,0,0,0,0,0,0,1,,,,,,,,1525,,,,,,,,1821,0,0,0,0,0,0,0,296,296,1821,1
Equatorial Guinea,GNQ,0,1,0,0,0,0,1,1,,1827,,,,,1778,1858,,1857,,,,,1778,1968,0,30,0,0,0,0,0,110,140,1968,2
Eritrea,ERI,0,1,0,0,1,0,0,0,,1941,,,1885,,,,,1951,,,1940,,,,0,10,0,0,55,0,0,0,65,1951,2
Estonia,EST,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,ETH,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Fiji,FJI,0,1,0,0,0,0,0,0,,1872,,,,,,,,1970,,,,,,,0,98,0,0,0,0,0,0,98,1970,1
Finland,FIN,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
France,FRA,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Gabon,GAB,0,0,1,0,0,0,0,0,,,1855,,,,,,,,1960,,,,,,0,0,105,0,0,0,0,0,105,1960,1
Gambia,GMB,0,1,0,0,0,0,0,0,,1852,,,,,,,,1965,,,,,,,0,113,0,0,0,0,0,0,113,1965,1
Georgia,GEO,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Germany,DEU,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Ghana,GHA,0,1,0,1,0,0,1,0,,1874,,1884,,,1476,,,1957,,1916,,,1823,,0,83,0,32,0,0,347,0,462,1957,3
Greece,GRC,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Grenada,GRD,0,1,1,0,0,0,0,0,,1762,1650,,,,,,,1970,1762,,,,,,0,208,112,0,0,0,0,0,320,1970,2
Guatemala,GTM,0,0,0,0,0,0,0,1,,,,,,,,1524,,,,,,,,1821,0,0,0,0,0,0,0,297,297,1821,1
Guinea,GIN,0,0,1,0,0,0,0,0,,,1858,,,,,,,,1958,,,,,,0,0,100,0,0,0,0,0,100,1958,1
Guinea-Bissau,GNB,0,0,0,0,0,0,1,0,,,,,,,1879,,,,,,,,1973,,0,0,0,0,0,0,94,0,94,1973,1
Guyana,GUY,0,1,0,0,0,1,0,0,,1814,,,,1580,,,,1966,,,,1815,,,0,152,0,0,0,235,0,0,387,1966,2
Haiti,HTI,0,0,1,0,0,0,0,0,,,1665,,,,,,,,1804,,,,,,0,0,139,0,0,0,0,0,139,1804,1
Honduras,HND,0,0,0,0,0,0,0,1,,,,,,,,1524,,,,,,,,1821,0,0,0,0,0,0,0,297,297,1821,1
Hungary,HUN,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Iceland,ISL,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
India,IND,0,1,0,0,0,0,0,0,,1803,,,,,,,,1947,,,,,,,0,144,0,0,0,0,0,0,144,1947,1
Indonesia,IDN,0,0,0,0,0,1,0,0,,,,,,1621,,,,,,,,1952,,,0,0,0,0,0,331,0,0,331,1952,1
Iran,IRN,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
