country,country_code,col_belgium,col_britain,col_france,col_germany,col_italy,col_netherlands,col_portugal,col_spain,colstart_belgium,colstart_britain,colstart_france,colstart_germany,colstart_italy,colstart_netherlands,colstart_portugal,colstart_spain,first,colend_belgium,colend_britain,colend_france,colend_germany,colend_italy,colend_netherlands,colend_portugal,colend_spain,last,time_belgium,time_britain,time_france,time_germany,time_italy,time_netherlands,time_portugal,time_spain,main,max,time_indep_interim,simultaneous_time,time_total,year_independence,ncolonizers,efw_france,efw_portugal,efw_britain,efw_spain,efw_belgium,efw_italy,efw_netherlands,efw_germany,efw_colonizer,timec_total,hiel_indep,indep_from,main_indep,avg_efw,Area1,Area2,Area3,Area4,Area5,std,efw_std,Area1_std,Area2_std,Area3_std,Area4_std,Area5_std,std_std,Year,wb_region,efw_2019,Area1_2019,Area2_2019,Area3_2019,Area4_2019,Area5_2019,std_2019,efw_indep_year,efw_indep,efw_indep2_year,efw_indep2,efw_indep3_year,efw_indep3,efw_indep4_year,efw_indep4,efw_indep5_year,efw_indep5,ruggedness,legor_uk,legor_fr,legor_so,legor_ge,legor_sc,avg_ethnofrac,euro_share,lat,lon,africa,catho80,muslim80,lat_abst,f_french,f_spain,f_pothco,rich4,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,hiland,drywint,avexpr,f_dutch,f_belg,f_italy,f_germ,logpgp95,landlock,goldm,iron,silv,zinc,oilres,logem4,america,ex2col,asia,lpd1500s,lland15,notmcp80,lpd1000s,lpa1500,coal,island,time_indep,centuries,multiple,long_colonizer,colonizer,late,diff,miss,continent,region,_est_est1,constant,touse
Angola,AGO,0,0,0,0,0,0,1,0,,,,,,,1576,,1576,,,,,,,1974,,1974,0,0,0,0,0,0,398,0,Portugal,398,0,0,398,1974,1,,792.7413055643553,,,,,,,6.341930444514842,125,6.898178008967081,Portugal,1,5.044845547568029,6.455314060607048,3.372074287023391,5.169245448219576,5.005348615799188,5.216860548250521,1.386129040340026,.430843687261119,1.178039691529167,.1468641030502609,1.503356498043731,.8835680651956046,.4508517495834675,.4077833202006137,2019,Sub-Saharan Africa,5.550608108108108,8.052308382676788,3.6679911455691,4.667935834545004,5.406168254186712,5.975077621785664,1.641862084194692,,,,,,,2005,4.214590452408931,2014,5.071418918918919,85.8,0,1,0,0,0,.772755,.002,-12.5,18.5,1,68.699997,0,.13666667,0,0,1,0,26,28,37,14,21,77,84,74,78,1,1,0,0,0,0,0,5.3636365,0,0,0,0,7.7706451,0,0,0,0,0,146000,5.6347895,0,1,0,.4054651,14.036011,11.500004,-.29035226,14.441476,0,0,26,3.98,0,Portugal,Portugal,0,,,Africa,Africa,1,1,1
United Arab Emirates,ARE,0,1,0,0,0,0,0,0,,1892,,,,,,,1892,,1971,,,,,,,1971,0,79,0,0,0,0,0,0,Britain,79,0,0,79,1971,1,,,619.191420339381,,,,,,7.739892754242263,80,7.808239607448191,Britain,1,7.156774734760059,6.265042624851025,4.788394006217859,8.4542795484652,8.44194773110053,7.833782457420924,1.651423121518788,.113212952313182,.6566833215028685,.3060159163052131,.4629620819810891,.1003635867467333,.358442032302729,.1277894561964148,2019,Middle East & North Africa,7.280095108695653,5.405961124593038,5.945313903769855,9.074053495938413,8.475040779134538,7.506247803356747,1.580453922405936,,,1985,6.447160755364564,1995,7.011978056329831,2001,6.962193587469268,2011,7.310054347826089,76.90000000000001,1,0,0,0,0,,,24,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,0,29,.79000002,0,Britain,Britain,0,,1,Asia,Asia,1,1,1
Argentina,ARG,0,0,0,0,0,0,0,1,,,,,,,,1565,1565,,,,,,,,1818,1818,0,0,0,0,0,0,0,253,Spain,253,0,0,253,1818,1,,,,,,,,,,0,,,,5.941295822852244,6.865871098360609,4.510847406507699,6.640603232801911,5.815482980681814,5.888499534518256,1.170255222943919,.5944982846444938,.8092908691130318,.1994860106377277,1.346363253552145,1.376791907567773,.2714855217683245,.3577410606497047,2019,Latin America & the Caribbean,5.438831967213115,6.547786764137158,4.79754538527574,3.880438507311902,5.96623195245658,5.993349194484699,1.078800720840676,,,,,,,,,,,77.5,0,1,0,0,0,.1769318,.147,-34,-64,0,91.599998,.2,.37777779,0,1,0,0,17,25,40,-6,6,81,92,60,79,1,0,0,1,0,0,0,6.3863635,0,0,0,0,9.1334591,0,0,0,0,0,46900,4.232656,1,1,0,-2.210722,14.82226,5.5000014,-2.6161871,12.611538,1,0,182,2.53,0,Spain,Spain,0,,,America,America,0,1,0
Australia,AUS,0,1,0,0,0,0,0,0,,1798,,,,,,,1798,,1904,,,,,,,1904,0,106,0,0,0,0,0,0,Britain,106,0,0,106,1904,1,,,449.9792899226611,,,,,,8.181441634957475,55,8.366822860640063,Britain,1,8.164049099905252,6.834044771718998,8.371520217070906,9.493864642853584,7.638818572432951,8.47365396779842,1.004237638028817,.0680317389520323,.1843521417185084,.1315000929787135,.09791372967733,.1722523681841539,.2011209066329777,.07196715601113,2019,East Asia & Pacific,8.16983850931677,6.537758255047746,8.29703632586166,9.554928021776458,7.95256274599187,8.521942118174504,1.091956809742029,,,,,,,,,1950,6.473794051554846,14.3,1,0,0,0,0,.1127971,.62,-27,133,0,29.6,.2,.30000001,0,0,0,1,17,18,43,-10,3,56,85,35,64,1,1,0,0,0,0,0,9.318182,0,0,0,0,9.8979721,0,3,16,9,12,99100,2.1459312,0,1,0,-3.6483569,15.854429,46.700001,-3.6483569,12.206073,1,1,96,1.0599999,0,Britain,Britain,0,,1,Oceania,Oceania,1,1,1
Burundi,BDI,1,0,0,1,0,0,0,0,1922,,,1894,,,,,1894,1962,,,1922,,,,,1962,40,0,0,28,0,0,0,0,Belgium,40,0,0,68,1962,2,,,,,306.0222872443039,,,203.5737554294668,7.279943466768152,70,8.55376417390816,Belgium,1,5.47295692241637,5.707774547201667,3.345605069363232,7.3782718622624,4.522126337908563,6.386274037206071,1.741172544335454,.3940236088977723,.9779248519263204,.2611611518856546,.887388254209174,1.080536716412191,.6743547226075365,.2929925071203967,2019,Sub-Saharan Africa,5.67,6.349889737147991,4.097339389235265,8.771317034520663,2.703233788791747,6.414750026896133,2.34040578031678,,,1975,4.48027012521369,1985,5.108930250719864,1995,4.489088823039421,2002,5.194316725332618,178,0,1,0,0,0,.0133333,.002,-3.5,30,1,78.300003,.89999998,.036666665,0,0,0,0,24,28,31,17,20,55,82,55,82,0,0,0,0,0,0,0,,0,0,0,1,6.5652652,0,0,0,0,0,0,5.6347895,0,1,0,3.2188759,10.153468,15.899997,2.4849067,13.372344,0,0,38,.68000001,1,Belgium,Germany,0,,,Africa,Africa,1,1,1
Benin,BEN,0,0,1,0,0,0,0,0,,,1873,,,,,,1873,,,1960,,,,,,1960,0,0,87,0,0,0,0,0,France,87,0,0,87,1960,1,635.5530779965413,,,,,,,,7.222194068142515,88,7.81686086670639,France,1,6.036574415420792,7.515345923570621,3.732141245078326,6.883932961556843,5.684654557912976,6.364282757290225,1.474378946473231,.2302955365622479,.3376714996168735,.7169054901935255,.2695032214966039,.2526913224335877,.4147127325319493,.320329029831982,2019,Sub-Saharan Africa,6.659769938650307,7.96348694184917,4.575196430536931,7.323791089812569,6.180879678073333,7.240734545267787,1.32786115639934,,,1970,4.886039956588258,1980,4.603317030528781,1990,5.626046464891439,2000,5.900032818623324,14.1,0,1,0,0,0,.6831192,,9.5,2.25,1,18.5,15.2,.10333334,1,0,0,0,27,31,35,18,22,83,91,68,78,1,0,0,0,0,0,0,,0,0,0,0,7.0900769,0,0,0,0,0,3930,5.5854492,0,1,0,1.442202,11.613856,63.5,.99028438,13.056058,0,0,40,.87,0,France,France,0,,,Africa,Africa,1,1,1
Burkina Faso,BFA,0,0,1,0,0,0,0,0,,,1895,,,,,,1895,,,1960,,,,,,1960,0,0,65,0,0,0,0,0,France,65,0,0,65,1960,1,462.0952740175105,,,,,,,,7.001443545719855,66,7.81686086670639,France,1,5.858535967511441,5.832245938288593,4.009546419047024,6.798766927805976,5.893508174009119,6.794329646498078,1.165041816734832,.1973611036057583,.4931299319662141,.1111602540562456,.1609982300817517,.3105343846868865,.3165150063420766,.0835044270035192,2019,Sub-Saharan Africa,6.249837662337662,7.095555812065422,4.054143740986224,6.712206924201246,6.306658338661081,7.057459111682733,1.265451500089681,,,,,,,,,2005,5.627285612282417,23.6,0,1,0,0,0,.5467181,,13,-2,1,9,43,.14444445,1,0,0,0,29,38,48,9,19,38,81,19,67,1,0,0,0,0,0,0,4.4545455,0,0,0,0,6.84588,1,0,0,0,0,0,5.6347895,0,1,0,1.442202,12.519423,46.400002,-.9162907,13.961624,0,0,40,.64999998,0,France,France,0,,,Africa,Africa,1,1,1
Bangladesh,BGD,0,1,0,0,0,0,0,0,,1796,,,,,,,1796,,1947,,,,,,,1947,0,151,0,0,0,0,0,0,Britain,151,0,0,151,1947,1,,,774.4113352265895,,,,,,7.902156481903974,98,6.578671163845762,Britain,1,6.023504704867372,8.587487015579146,2.757551104540319,6.647115254227423,5.584714305060269,6.53774130310597,2.133099280807754,.1641364331140407,.2563100788195823,.1967500203747746,.172199105097474,.2017793702988721,.3348255058775051,.089093933927559,2019,South Asia,6.039745762711865,8.105819663598897,2.873741558475488,6.913025818912764,5.755518918780368,6.55969908007625,1.962522733447946,,,,,1975,2.990895258632191,1980,3.493789151676542,1990,4.377050454066681,18.6,1,0,0,0,0,0,,24,90,0,.2,85.900002,.26666668,0,0,0,0,25,29,42,7,24,37,74,37,74,0,0,0,0,0,0,0,5.1363635,0,0,0,0,6.877296,0,0,0,0,0,0,4.2684379,0,1,1,3.1654751,11.776597,13.699999,2.9295924,14.942072,0,0,53,1.51,0,Britain,Britain,0,,,Asia,Asia,1,1,1
Bahrain,BHR,0,1,0,0,0,0,0,0,,1861,,,,,,,1861,,1971,,,,,,,1971,0,110,0,0,0,0,0,0,Britain,110,0,0,110,1971,1,,,874.7237556687063,,,,,,7.880394195213571,111,7.808239607448191,Britain,1,7.184648682667889,6.720013672630915,4.1239164079914,8.979262547906186,7.990862701876971,8.105312932912957,1.914470357642899,.1134375528534953,.3634850902644626,.2904044714404993,.3229592987877379,.1846119771094574,.3965700999084253,.1321622017862036,2019,Middle East & North Africa,7.430053475935829,7.106125111240829,4.728614105722297,9.337619773990735,8.267513031487731,7.707330515229708,1.718991901007827,,,1985,6.676310126118461,1995,7.05477714518551,2001,7.056268423139418,2011,7.280254010695189,23.1,1,0,0,0,0,,,26,50.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,1,29,1.1,0,Britain,Britain,0,,1,Asia,Asia,1,1,1
Bahamas,BHS,0,1,0,0,0,0,0,0,,1738,,,,,,,1738,,1973,,,,,,,1973,0,235,0,0,0,0,0,0,Britain,235,0,0,235,1973,1,,,975.8184534074757,,,,,,7.869503656511901,124,8.002003930356283,Britain,1,7.225613287205353,8.915679782092608,6.017832160977274,7.205380738506712,5.174265546673287,8.736273030962806,1.665838696433231,.137674650588866,.113954888755185,.4842543176809916,.3868610247783754,.165729660069843,.2301687165254384,.1355999966370514,2019,Latin America & the Caribbean,7.499317211948791,8.836620882012147,6.32064228723328,8.253730523358939,5.401152879265092,8.686276530276212,1.545797564682733,,,1985,6.907134281213727,1995,7.127910262805034,2003,7.157018721982381,2013,7.192762333547144,5.5,1,0,0,0,0,0,.626,24.25,-76,0,25.5,0,.26833332,0,0,0,0,25,29,34,5,19,79,84,62,73,0,0,0,0,0,0,0,7.5,0,0,0,0,9.2854481,0,0,0,0,0,0,4.4426513,1,1,0,.37843648,9.21134,27.300003,-.18272163,9.589776,0,1,27,2.3499999,0,Britain,Britain,0,,,America,America,1,1,1
